shape,demo,method,parameters_per_dim,total_parameters,mean_l2,rmse,max_l2,frobenius_per_point,mean_l2_over_bbox_percent
DoubleBendedLine,3,piecewise,3,6,8.911360712474005,10.319957002890423,24.29428167785631,0.3263456948413861,16.965437658931545
DoubleBendedLine,4,piecewise,3,6,8.150368509842107,9.237867074668166,22.347261744128495,0.29212700677828163,15.994343032738074
DoubleBendedLine,5,piecewise,3,6,9.09206370800324,10.485112737834406,24.362866647538368,0.33156837775200654,16.62568620824951
DoubleBendedLine,6,piecewise,3,6,9.299121533215642,10.880490680651835,25.30391384742022,0.3440713261109555,17.059765119077547
GShape,0,piecewise,3,6,9.459823559953286,10.634525044367066,19.88960859535901,0.3362932097430311,19.328370599002888
GShape,1,piecewise,3,6,10.955568501090921,12.187207996765874,24.126640135488714,0.38539335587998147,18.673234147501994
GShape,2,piecewise,3,6,12.301525762985051,13.781148463891034,25.69267865377745,0.4357981791882639,18.462686511057555
GShape,3,piecewise,3,6,11.726804696986154,13.202846654719634,26.216589237843923,0.4175106702684872,17.861193142794406
GShape,4,piecewise,3,6,11.465308753791003,12.794471961695892,25.140311098268338,0.4045967285812162,19.443632687201443
GShape,5,piecewise,3,6,12.419898679401664,13.870332109803314,26.883752386826085,0.4386184136994716,19.983448908361787
GShape,6,piecewise,3,6,11.42207972862746,12.784873684992016,25.245625200050625,0.40429320442124833,18.91540475759293
JShape,0,piecewise,3,6,6.576928458242985,7.310155372192617,13.60629614221567,0.23116741025844578,13.557706053690335
JShape,1,piecewise,3,6,7.338174542710349,8.09551174560418,15.564513174344595,0.2560025594075481,13.773688487435715
JShape,2,piecewise,3,6,7.169956865184583,8.09289962546772,18.19185480765039,0.25591995691601616,13.721644602449153
JShape,3,piecewise,3,6,7.377288476380328,8.18506189793583,16.250128165019003,0.25883438386937874,13.483549650953128
JShape,4,piecewise,3,6,7.740405933720333,8.69669520791794,17.879952070367175,0.275013649732923,13.522745621761528
JShape,5,piecewise,3,6,7.957690563026282,8.8858966083037,18.676896269046374,0.2809967233500476,13.546134103984652
JShape,6,piecewise,3,6,7.538576646147226,8.471157131681377,20.06866430815831,0.2678815095329206,13.446925055913624
JShape_2,0,piecewise,3,6,6.746222385595334,7.430449607896389,14.567874904877252,0.23497144800057643,15.196263007930416
JShape_2,1,piecewise,3,6,7.276194750741561,7.853431406433962,13.174284273555884,0.24834730692230853,15.726294528184154
JShape_2,2,piecewise,3,6,7.758951572176256,8.457938819903719,16.444508358315336,0.2674635098125243,14.74062058908917
JShape_2,3,piecewise,3,6,8.127240988181686,8.882726864926946,17.606677968716593,0.28089648726335986,14.831643295884591
JShape_2,4,piecewise,3,6,8.242960139701866,8.898747052371005,17.484053611517265,0.28140309007202047,14.999690970996049
JShape_2,5,piecewise,3,6,8.492709482203372,9.527342890952271,20.755888819755707,0.3012810358482239,15.602754267207137
JShape_2,6,piecewise,3,6,9.201881262763537,9.981372058587816,19.054160879518857,0.3156386987870113,15.47908602612019
Khamesh,0,piecewise,3,6,6.251463050726123,6.975554160750491,13.220906238630766,0.22058639089835871,11.354630600415613
Khamesh,1,piecewise,3,6,6.3368855741923475,7.053852134035107,15.553193416080186,0.2230623902159026,11.073488824052188
Khamesh,2,piecewise,3,6,6.670743331841147,7.458911386047586,15.06195868710549,0.23587148845273848,11.202415903100645
Khamesh,3,piecewise,3,6,6.987110565738969,7.787502402445381,15.612424556843335,0.2462624487576061,11.162508804449468
Khamesh,4,piecewise,3,6,6.664830607587501,7.468712682329757,16.778476945437898,0.23618143265547648,10.768733217444195
Khamesh,5,piecewise,3,6,6.424523960946492,7.23410619236642,15.832443802072598,0.2287625240340607,11.084073298481977
Khamesh,6,piecewise,3,6,6.839122299038366,7.668072103806591,16.532416558643142,0.2424857311042793,11.068175119011588
LShape,0,piecewise,3,6,6.931124710436405,7.8966291580605725,17.47089946467296,0.24971333977169188,12.201850175933032
LShape,1,piecewise,3,6,6.685250513200483,7.655630996363241,16.24035299128019,0.24209230874292073,11.695874700515368
LShape,2,piecewise,3,6,6.798104949265035,8.062171217725705,21.840767577696305,0.25494823934266503,11.317687384271638
LShape,3,piecewise,3,6,6.544631723910077,7.437569931303317,16.407504700685298,0.23519661239700548,11.439282710120736
LShape,4,piecewise,3,6,7.077028705143337,8.129829802004476,17.31263862962793,0.25708779163849876,11.829310714946494
LShape,5,piecewise,3,6,7.585208534793404,8.514572285672193,16.70717239122639,0.2692544172486999,12.292188596918725
LShape,6,piecewise,3,6,6.8705077261576335,7.749077109823642,16.71773483428284,0.24504733431317455,11.14845502314264
Leaf_1,0,piecewise,3,6,7.474546067709547,8.86605452678962,18.501572667262355,0.2803692616390155,16.150215784280416
Leaf_1,1,piecewise,3,6,8.305686756534774,9.552333189660628,19.3411111084269,0.3020712984814876,15.690726479586226
Leaf_1,2,piecewise,3,6,8.22893646328304,9.249332689350735,19.260785355068375,0.2924895813499895,15.506578709257017
Leaf_1,3,piecewise,3,6,7.860537700363374,8.836256418290121,17.87348557757108,0.27942696271078316,15.102891979872318
Leaf_1,4,piecewise,3,6,9.274121032394378,10.339668231533276,21.6751148885825,0.3269690186213037,16.222844037485128
Leaf_1,5,piecewise,3,6,7.877741649812601,8.986840089814535,19.224986426012922,0.28418883651526095,15.263055830758113
Leaf_1,6,piecewise,3,6,8.511748369085321,9.649518600629323,20.312794011619562,0.30514457102149345,14.96479683107796
Leaf_2,0,piecewise,3,6,7.614789168414632,7.9410583526215905,14.493687964691208,0.25111831426588765,13.581131888484494
Leaf_2,1,piecewise,3,6,7.849518184663991,8.309353531862621,17.69873765169723,0.26276483044250387,13.389916650723723
Leaf_2,2,piecewise,3,6,7.901038506096596,8.396456142587464,18.09453808846495,0.265519256842879,13.1098464908377
Leaf_2,3,piecewise,3,6,7.735476228422663,8.273177730947335,18.431991284178466,0.2616208511717728,13.545985672265411
Leaf_2,4,piecewise,3,6,8.020912320088291,8.632381718829924,19.015890236316228,0.2729798786350179,13.608706516767148
Leaf_2,5,piecewise,3,6,7.536794532222722,8.060900417840449,16.723012205508944,0.25490805312178805,13.102969253310755
Leaf_2,6,piecewise,3,6,7.944145906487325,8.438768803712922,17.89852628347472,0.26685730067307206,13.473720347561855
Line,0,piecewise,3,6,4.867682808893694,6.1383753253463444,15.405390430776071,0.19411247161071551,9.510413854127856
Line,1,piecewise,3,6,4.832487691797587,5.657899434099048,11.84455802036051,0.17891848983930733,8.987144663460366
Line,2,piecewise,3,6,4.909401306436829,5.7306664419814,11.892937520245827,0.18121958467354396,8.998092494415511
Line,3,piecewise,3,6,4.98719810372942,6.223988636008308,15.088373763390225,0.19681980220790932,9.420385432182442
Line,4,piecewise,3,6,4.999832490980294,6.670192337804475,15.782721792881583,0.2109300021886539,9.19014339927871
Line,5,piecewise,3,6,4.86975034699714,5.994560220268446,15.152036389644906,0.1895646386708895,8.897607502351027
Line,6,piecewise,3,6,4.578394209987496,5.91661230796079,14.659810819572682,0.1870997092534168,9.343257555046995
Multi_Models_1,0,piecewise,3,6,2.891036387902796,3.2987839370804584,6.847736602537041,0.10431670749951825,9.96253552760949
Multi_Models_1,1,piecewise,3,6,3.364563155296207,3.7462241441295534,7.827696893455248,0.11846600920964294,10.801550497722873
Multi_Models_1,2,piecewise,3,6,3.024959925986789,3.458729074389887,6.680862795810072,0.10937461684517996,10.13146884303251
Multi_Models_1,3,piecewise,3,6,2.4477494372672726,2.748115386105787,5.054653541343862,0.08690303893047331,11.389983244850095
Multi_Models_1,4,piecewise,3,6,2.4957162761106346,2.811579850357356,5.394487168477769,0.08890996150564623,10.941465223071889
Multi_Models_1,5,piecewise,3,6,1.169691295018816,1.3850967135578947,3.3848860163363366,0.04380060394456771,8.528683269158632
Multi_Models_1,6,piecewise,3,6,1.2789465327066696,1.5297263927476779,3.478728122825871,0.04837419597955942,9.57852270656677
Multi_Models_2,0,piecewise,3,6,3.8069545227571306,4.309556806918678,7.89901287588947,0.1362801521574551,11.484975375072343
Multi_Models_2,1,piecewise,3,6,3.9966791899421428,4.509398885859042,9.541699288502873,0.14259971357540227,11.324905095924334
Multi_Models_2,2,piecewise,3,6,3.9124777675755285,4.4111501983022094,8.12332799110057,0.13949281727738394,11.811258603999448
Multi_Models_2,3,piecewise,3,6,3.8026451556047878,4.3236831618737765,8.54680915844597,0.13672686672439624,10.871229311470126
Multi_Models_2,4,piecewise,3,6,3.1448083334584354,3.65748793688601,8.3967302496978,0.11565992395149965,13.4286485900953
Multi_Models_2,5,piecewise,3,6,2.855360392190991,3.3714794061867863,8.586101563407377,0.10661554007902228,12.213424038607206
Multi_Models_2,6,piecewise,3,6,3.122479676212125,3.739588107555775,8.817858090058445,0.11825615930754974,12.365141639605627
Multi_Models_3,0,piecewise,3,6,5.1406378524136835,5.5413225801702355,9.30516561298833,0.1752320060305894,15.72636167415765
Multi_Models_3,1,piecewise,3,6,5.312132094951794,5.71311302699033,10.903186112214103,0.18066449695268466,15.316332107107556
Multi_Models_3,2,piecewise,3,6,5.665219445705588,6.158599548270274,11.146226278935183,0.19475201769418157,15.126684796568128
Multi_Models_3,3,piecewise,3,6,5.418758373084862,5.93340341020469,11.27177824016841,0.1876306905285717,15.080003939828565
Multi_Models_3,4,piecewise,3,6,4.68719549284661,5.187274343280712,9.358358144300098,0.16403601772921197,15.816513443578081
Multi_Models_3,5,piecewise,3,6,5.087928134780304,5.6175715787765,11.019163471697789,0.1776432110796174,15.165743043126815
Multi_Models_3,6,piecewise,3,6,5.023113317050902,5.660459970512642,10.910574683405287,0.1789994611102949,15.605441993640373
Multi_Models_4,0,piecewise,3,6,5.743799750265678,6.3001060567981,12.085868448142131,0.19922684640104135,13.674721673505914
Multi_Models_4,1,piecewise,3,6,5.732410834242405,6.380261470439823,13.80589636122482,0.20176158314004905,13.432586093937028
Multi_Models_4,2,piecewise,3,6,6.437391027022389,7.050253608233324,13.771742213678474,0.22294859483837748,13.882323084292373
Multi_Models_4,3,piecewise,3,6,5.936788274135378,6.592134942404314,15.528601204017423,0.20846161061180526,12.713784910900676
Multi_Models_4,4,piecewise,3,6,3.668021674747614,4.221679092723082,8.649367806270464,0.13350121483318114,14.20268564304758
Multi_Models_4,5,piecewise,3,6,4.133608103371935,4.683872526015079,8.80712010693563,0.14811705452093918,15.920929830423633
Multi_Models_4,6,piecewise,3,6,3.8676159468775033,4.407598908762867,8.6777356840376,0.1393805156416334,13.838258892497493
NShape,0,piecewise,3,6,13.519253875071469,15.064188836568807,23.625709712531,0.4763714782643943,22.201653380673836
NShape,1,piecewise,3,6,12.942391316462132,14.511520746147264,25.339653499124292,0.45889457870611466,20.519723625176457
NShape,2,piecewise,3,6,13.97850314618594,15.617329313859884,25.93954690902728,0.4938633160071188,21.860618564144723
NShape,3,piecewise,3,6,14.375230424348949,16.108072069022878,26.01393800656658,0.5093819645225329,21.439151418089708
NShape,4,piecewise,3,6,13.858510236175608,15.531310240809695,27.815305402588248,0.49114315407656867,21.729445152815728
NShape,5,piecewise,3,6,14.123896992977608,15.783106126388125,28.037547459196734,0.49910563911543854,21.532416927070507
NShape,6,piecewise,3,6,14.28240666812286,16.108952347211076,30.24571245495428,0.5094098013630257,20.84881573587763
PShape,0,piecewise,3,6,9.210649609755666,10.206158890051423,20.15695660698608,0.32274708254138523,16.375539213601094
PShape,1,piecewise,3,6,10.328491987303888,11.593538316735764,23.071291696581888,0.3666198722131962,16.451174119149314
PShape,2,piecewise,3,6,10.424625073865876,11.561490899490085,21.920025218943277,0.3656064438969752,16.359604140149102
PShape,3,piecewise,3,6,10.78833633736486,12.035267621612908,22.182038062010758,0.3805885793397432,16.87618020299239
PShape,4,piecewise,3,6,9.747067718631518,10.808096176884346,21.237598167902465,0.34178201089112636,16.615862859536684
PShape,5,piecewise,3,6,10.32597505215682,11.465993110251672,21.965952682864057,0.36258653864193413,16.44273771017075
PShape,6,piecewise,3,6,10.235472096488577,11.585285557936274,23.763257405973384,0.3663588970653324,15.76650597620817
RShape,0,piecewise,3,6,6.93972941304767,7.681232947145579,17.709928590438835,0.24290191351307786,11.128757723181774
RShape,1,piecewise,3,6,7.551050848730119,8.526775895842059,20.852906113614168,0.2696403292868357,11.964094442250314
RShape,2,piecewise,3,6,6.81642104237407,7.65243005192694,18.01659802432114,0.24199108599209712,10.852487063377943
RShape,3,piecewise,3,6,6.536405297314834,7.510418036203461,19.808508468791516,0.23750027174411875,10.735203991901729
RShape,4,piecewise,3,6,6.990003699006633,7.895594767272147,18.601021499622284,0.24968062946287062,11.17673550109877
RShape,5,piecewise,3,6,6.904658094167411,7.802187502991576,20.06653463344767,0.24672683241155172,10.543678331279809
RShape,6,piecewise,3,6,6.987899055336136,7.9529666717897545,18.079610981252877,0.25149488838264406,10.954510611931118
Saeghe,0,piecewise,3,6,5.8978444005849875,6.6191000513587275,13.859688751351738,0.20931432222831078,11.00428539999279
Saeghe,1,piecewise,3,6,6.1544247613127085,6.985507313502137,15.596756550507429,0.2209011372243064,11.429032320584884
Saeghe,2,piecewise,3,6,6.096780821668394,6.930394333065925,15.305082728887527,0.2191583117561191,11.119429498145267
Saeghe,3,piecewise,3,6,6.345352760687799,7.149246324783768,14.981837356062304,0.22607901939904598,11.765318590003183
Saeghe,4,piecewise,3,6,6.2671523305647705,7.262920152323064,15.96046838432386,0.2296737014527795,11.292815767986248
Saeghe,5,piecewise,3,6,6.210390038001313,6.9590958060344725,14.610828072630941,0.22006593202394276,10.923551388527324
Saeghe,6,piecewise,3,6,6.521497428052712,7.200459128088774,13.655824527407646,0.22769851043710618,11.178700027954756
Sharpc,0,piecewise,3,6,9.500684662936449,10.741971407404836,19.641965937737368,0.339690962078038,17.714578010054773
Sharpc,1,piecewise,3,6,10.086370470300396,11.32324394880559,19.969097064375497,0.35807241379944704,18.99660645131079
Sharpc,2,piecewise,3,6,10.333527767875985,11.548364507661987,19.678448362481983,0.365191350940609,17.34470532789494
Sharpc,3,piecewise,3,6,10.232397745382727,11.566788508929621,20.352826268125117,0.36577396901680465,17.410238006873083
Sharpc,4,piecewise,3,6,10.955230767443881,12.365672017010828,22.20979198538162,0.3910368837236261,18.701633899364023
Sharpc,5,piecewise,3,6,10.964654628807653,12.346450157981845,22.892481098324502,0.39042903516968347,18.808627466076057
Sharpc,6,piecewise,3,6,11.06305274181622,12.60564491190503,24.053307009303097,0.39862549296932476,17.82584204645724
Sine,0,piecewise,3,6,6.155989964078571,6.67386331664918,13.41835360233282,0.21104608873256947,12.31159639951635
Sine,1,piecewise,3,6,6.311303469301689,6.7234088432325345,14.109938543149585,0.2126128558513277,12.225406103652041
Sine,2,piecewise,3,6,6.521597043977971,6.9924153633056925,14.216918700217533,0.22111958893999753,12.377106172045668
Sine,3,piecewise,3,6,6.981098139276282,7.550995206291717,15.239556558801487,0.2387834345289482,12.363175118888591
Sine,4,piecewise,3,6,6.381878922398548,6.7970764475255985,13.502427449025836,0.2149424300446685,12.370077987319767
Sine,5,piecewise,3,6,6.696487944076033,7.256272237404737,14.698284095225347,0.22946347592445024,12.7692446893874
Sine,6,piecewise,3,6,6.77068874261047,7.2699344863996345,13.784604010929945,0.22989551417229245,12.466838332072186
Snake,0,piecewise,3,6,8.308342794621138,8.857481413597295,17.969771235464787,0.28009815599575366,14.629660376486848
Snake,1,piecewise,3,6,8.181716219398972,8.700040778331598,18.718943493457456,0.27511944595871934,14.292627673310419
Snake,2,piecewise,3,6,8.45937581868998,8.983518939016795,18.10733254887338,0.2840838125055235,14.24827305385518
Snake,3,piecewise,3,6,8.4572387176435,8.93559049283924,17.838439105104168,0.28256818195918487,14.666611085246664
Snake,4,piecewise,3,6,8.772424755407304,9.217884151353465,17.55372003418462,0.29149509125845224,14.667374749036155
Snake,5,piecewise,3,6,8.325819126266861,8.931780535735456,19.979859118935686,0.2824477005368299,14.436237545549657
Snake,6,piecewise,3,6,8.497326863199214,9.092982964196613,18.887174053766266,0.287545368919706,14.146404500280267
Spoon,0,piecewise,3,6,5.768403435053264,6.511113995001964,11.24734193627891,0.20589950329204404,11.353391482590718
Spoon,1,piecewise,3,6,6.359885181172682,7.133149557876061,13.13112111502746,0.22556999493511418,11.93202071184834
Spoon,2,piecewise,3,6,6.307447810476937,7.093633417814742,13.701781731066266,0.22432038486579425,11.969731253868963
Spoon,3,piecewise,3,6,6.580842146200548,7.342900910351797,13.477114741296774,0.2322029150963554,12.127901731744402
Spoon,4,piecewise,3,6,6.261488139992211,7.047088179433225,13.000959172083483,0.22284849519058345,11.978088421716798
